model,val_timestamp,MSE,RMSE,MAPE,sMAPE,MAE,Huber_loss
LSTM_2_look48_overlap1,2008-07-01 06:00:00,4342.246153898109,65.89572181787,27.232884209479803,91.53182002023618,52.927537336051465,52.42803955078125
LSTM_2_look48_overlap1,2008-10-01 06:00:00,5649.405629462201,75.1625280938727,36.66792656519575,123.13225191122106,57.73197460463271,57.240814208984375
LSTM_2_look72_overlap1,2008-01-01 06:00:00,930.3299166701718,30.501310081210804,20.029692716814655,128.44961299985184,20.930052723983923,20.430051803588867
LSTM_2_look72_overlap1,2008-04-01 06:00:00,3260.2091041593,57.098240814926164,33.3211493237834,102.61536246030055,34.07766459226608,33.577667236328125
LSTM_2_look72_overlap1,2008-07-01 06:00:00,6518.121722045449,80.73488540925446,25.831568221077323,91.40705752911563,64.0756287930409,63.57563400268555
LSTM_2_look72_overlap1,2008-10-01 06:00:00,7329.960382050883,85.61518780012622,32.54401496135102,120.63128146314017,61.68139837955436,61.1949462890625
LSTM_2_look96_overlap1,2008-01-01 06:00:00,1144.2108079013058,33.82618524015538,26.90479414152393,129.96273483906182,23.0035240895922,22.539392471313477
LSTM_2_look96_overlap1,2008-04-01 06:00:00,3217.405874507851,56.72218150342819,21.846298942548444,101.73919482782597,35.207709782663734,34.7242431640625
LSTM_2_look96_overlap1,2008-07-01 06:00:00,4512.171415778248,67.17269844049923,20.30590135424062,86.3402917801892,52.005400946935026,51.5064697265625
LSTM_2_look96_overlap1,2008-10-01 06:00:00,3792.4675345852534,61.58301336070892,28.325218810220875,117.04558911837475,47.80761173764865,47.308258056640625
LSTM_2_look48_overlap24,2008-01-01 06:00:00,43629.28745178719,208.8762491327992,116.48753604457094,188.8615073313171,149.65204451779525,149.15203857421875
LSTM_2_look48_overlap24,2008-04-01 06:00:00,124766.04406246512,353.2223719733295,102.04676341989882,172.6874629409318,242.93199503334858,242.4320068359375
LSTM_2_look48_overlap24,2008-07-01 06:00:00,218144.8143919066,467.0597546266501,121.3444971323526,145.0826925772659,333.5131307975451,333.0131530761719
LSTM_2_look48_overlap24,2008-10-01 06:00:00,130941.73546814943,361.85872307870295,89.85708689538437,174.368057775293,246.43461250260472,245.9375457763672
LSTM_2_look72_overlap36,2008-01-01 06:00:00,1178.994438364948,34.33648843963151,18.040928874382274,127.81544963684598,23.248321720448633,22.769956588745117
LSTM_2_look72_overlap36,2008-04-01 06:00:00,4742.824148586597,68.86816498634617,26.003449013688133,101.86793687551142,43.7485213632385,43.25725173950195
LSTM_2_look72_overlap36,2008-07-01 06:00:00,3459.2065316588923,58.81501960944068,21.407586048542374,83.88027198527831,43.0625410425663,42.562538146972656
LSTM_2_look72_overlap36,2008-10-01 06:00:00,1507.4732462308973,38.826192785681386,22.773523514428692,108.54553038900347,31.05434012214343,30.55434226989746
LSTM_2_look96_overlap48,2008-01-01 06:00:00,36326.42241363422,190.5949170718732,106.77853695270994,190.87668132341744,134.01154790245616,133.52642822265625
LSTM_2_look96_overlap48,2008-04-01 06:00:00,119989.34946144628,346.39478844440816,136.93995462769948,179.21723073620183,242.16102134913206,241.6610107421875
LSTM_2_look96_overlap48,2008-07-01 06:00:00,245678.07627689652,495.65923402767,134.51315660035016,168.73589762294435,354.255589744548,353.755615234375
LSTM_2_look96_overlap48,2008-10-01 06:00:00,137191.57879759718,370.39381581986106,108.0745721523306,184.45900552901293,251.92347576955956,251.42347717285156
LSTM_2_look48_overlap48,2008-01-01 06:00:00,37814.95687724777,194.4606820857311,117.01468770815538,184.8969639351657,141.54569252123437,141.0457000732422
LSTM_2_look48_overlap48,2008-04-01 06:00:00,117970.7650860366,343.4687250479097,166.22922784727587,179.04193902952227,249.25096377412478,248.7509765625
LSTM_2_look48_overlap48,2008-07-01 06:00:00,246321.7946230242,496.30816497718854,182.7282929075237,166.2413980699598,378.08179808860024,377.581787109375
LSTM_2_look48_overlap48,2008-10-01 06:00:00,132649.50464379825,364.2107969895981,121.22808973068067,180.93325345534083,255.87373355207345,255.3737335205078
